;x;y;Stufe;LT.C2.Fibel;Glasarmring.gerippt;Glasarmring.genoppt;Gürtelkette;Fingerring.mehrfach.gewickelt.plastisch;LT.C1.Fibel;Glasarmring.Fadenauflage;Ring..Fuss..Armring.Blech.um.Eisen.Ton;Hohlbuckelarmringe;Schaukelfingerringe;LT.B2.Fibel;Arm..Fussring.genoppt..plastisch..Vollguss;Arm..Fussring.plastisch.gerippt;Fingerring.flachblech;Kette;Armreif.mit.Korallenauflage;Lanze;LT.B1.Fibel;Schwert;Arm..Fussring.vollguss.massiv;Arm..Fussringe.gerippt.dicht;Draht.Fingerring.runder.QS;Certosafibel;Bernsteinkette;Halsring.plastisch..vollguss;Halsring.hohlblech..geritzt;Glasperlen;Arm..Fussring.einfach.od..geritzt..hohl;LT.A.Fibel;Halsring.m..Muffen;Arm..Fussring.gerippt.vollguss;Hirschgeweih;Armring.mit.Muffen;Arm.Fussring.einfach..vollguss.lochverschluss..Steckverschluss;Halsring.einfach.geritzt..Vollguss
140;1447.66597;-1769.55766;3;0;0;0;0;0;0;0;0;0;1;5;1;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;1532.27734;-1875.83157;3;0;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;1443.58832;-1869.71508;4;0;0;0;1;0;1;0;1;2;4;15;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;1499.99589;-2084.30173;4;0;0;0;0;1;0;0;0;1;2;13;0;4;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
161;1506.45218;-2141.55882;4;0;0;0;0;1;6;0;0;0;0;5;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;1451.40383;-2234.4954;4;0;0;0;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;1484.70468;-2275.61176;4;0;0;0;1;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;1562.18015;-2248.08758;4;0;0;0;0;0;1;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;1561.50054;-2435.0651;4;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
181;1529.8987;-2468.70576;4;0;0;1;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;1443.92812;-2366.84931;4;0;0;0;1;3;21;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;1749.75232;-2600.04027;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;1715.77186;-2686.52056;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;1701.16026;-2722.03014;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;1666.16038;-2737.66116;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8a;981.45397;-636.30909;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;2;1;0;0;2;0;0
8b;981.45397;-636.30909;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;2;0;0;0;0;2;0
